key,value
"(0, 10)","{'super area title': 'West Nordreyjar', 'description': 'The steppe is a realm of open skies and endless winds.  Golden wheat sways like a rippling sea, ready for harvest.\n                             Scarecrows stand guard amidst the fields, their outstretched arms warding off unwelcome visitors. The air is filled with the earthy scent of freshly turned soil, and the landscape feels alive with the promise of sustenance and growth.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
"(0, 11)","{'super area title': 'West Nordreyjar', 'description': 'The barren landscape is dominated by arid earth and rocky outcroppings. The ground is cracked and dry, and the few tufts of hardy grass that dot the landscape seem like precious oases of life. \n                              The sun beats down relentlessly, casting harsh shadows that stretch across the desolate expanse. The air is filled with the earthy scent of freshly turned soil, and the landscape feels alive with the promise of sustenance and growth.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
"(0, 12)","{'super area title': 'West Nordreyjar', 'description': 'The steppe is a realm of open skies and endless winds.  Short grasses carpet the land, bending and swaying as the gusts sweep across the plain. \n                              Herds of animals graze in the distance, their movements harmonizing with the rhythm of the land. The sky overhead is an expanse of azure blue, interrupted only by the occasional fluffy cloud.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
"(0, 13)","{'super area title': 'Northaenvagr', 'description': 'As you continue your journey, a vast expanse of icy water stretches before you. Seals lounge on ice floes, their whiskered faces turned towards the sun. \n                                  Curious penguins dive beneath the surface, darting through the water with incredible speed.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 14)","{'super area title': 'Northaenvagr', 'description': ""While you sail across the Northaenvagr sea, you see that life flourishes in the icy waters. Their vibrant hues reflect in the icy waters below, casting an otherworldly glow upon the frozen sea. \n                                  Icebergs float by like silent sentinels, their reflective surfaces catching the shimmering colors of the aurora. \n                                  It's a magical and breathtaking sight that leaves you in awe of the wonders of the Northaenvagr sea."", 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 15)","{'super area title': 'Northaenvagr', 'description': 'The northern lights dance across the night sky in a spectacular display of color and light. The frigid air bites at your skin, and the silence is almost overwhelming, \n                                  broken only by the occasional creaking of ice or the distant call of a lone seabird. ', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 16)","{'super area title': 'West Nordreyjar', 'description': 'The landscape unfolds in a sea of undulating grasses that stretch to the horizon. The grasslands in West Nordreyjar sway in harmony with the breeze, creating a mesmerizing wave-like motion that seems to breathe with the land. \n                              Here and there, wildflowers add vibrant bursts of color, their petals nodding gently in the wind. Despite the starkness, there is a certain beauty in the rugged simplicity of the desert plains.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
"(0, 17)","{'super area title': 'West Nordreyjar', 'description': 'As far as the eye can see, rows of crops stretch across the fertile plain. The ground is cracked and dry, and the few tufts of hardy grass that dot the landscape seem like precious oases of life. \n                              The sun beats down relentlessly, casting harsh shadows that stretch across the desolate expanse. Despite the starkness, there is a certain beauty in the rugged simplicity of the desert plains.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
"(0, 18)","{'super area title': 'West Nordreyjar', 'description': 'The barren landscape is dominated by arid earth and rocky outcroppings.  Golden wheat sways like a rippling sea, ready for harvest.\n                             Scarecrows stand guard amidst the fields, their outstretched arms warding off unwelcome visitors. The air is cool and invigorating, carrying with it the promise of change and adventure.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
"(0, 19)","{'super area title': 'West Nordreyjar', 'description': 'The steppe is a realm of open skies and endless winds.  Short grasses carpet the land, bending and swaying as the gusts sweep across the plain. \n                              Herds of animals graze in the distance, their movements harmonizing with the rhythm of the land. The air is filled with the earthy scent of freshly turned soil, and the landscape feels alive with the promise of sustenance and growth.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
"(0, 20)","{'super area title': 'Northaenvagr', 'description': 'As you continue your journey, a vast expanse of icy water stretches before you. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 21)","{'super area title': 'Northaenvagr', 'description': 'As you continue your journey, a vast expanse of icy water stretches before you. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 22)","{'super area title': 'Northaenvagr', 'description': 'As far as the eye can see, the water is a vast expanse of glacial blue, its surface punctuated by jagged ice floes. Seals lounge on ice floes, their whiskered faces turned towards the sun. \n                                  Curious penguins dive beneath the surface, darting through the water with incredible speed.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 23)","{'super area title': 'Northaenvagr', 'description': 'As far as the eye can see, the water is a vast expanse of glacial blue, its surface punctuated by jagged ice floes. Seals lounge on ice floes, their whiskered faces turned towards the sun. \n                                  Curious penguins dive beneath the surface, darting through the water with incredible speed.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 24)","{'super area title': 'Northaenvagr', 'description': 'As far as the eye can see, the water is a vast expanse of glacial blue, its surface punctuated by jagged ice floes. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 25)","{'super area title': 'Northaenvagr', 'description': 'The northern lights dance across the night sky in a spectacular display of color and light. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 26)","{'super area title': 'Northaenvagr', 'description': 'As far as the eye can see, the water is a vast expanse of glacial blue, its surface punctuated by jagged ice floes. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 27)","{'super area title': 'Northaenvagr', 'description': ""The northern lights dance across the night sky in a spectacular display of color and light. Their vibrant hues reflect in the icy waters below, casting an otherworldly glow upon the frozen sea. \n                                  Icebergs float by like silent sentinels, their reflective surfaces catching the shimmering colors of the aurora. \n                                  It's a magical and breathtaking sight that leaves you in awe of the wonders of the Northaenvagr sea."", 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 28)","{'super area title': 'Northaenvagr', 'description': ""While you sail across the Northaenvagr sea, you see that life flourishes in the icy waters. Their vibrant hues reflect in the icy waters below, casting an otherworldly glow upon the frozen sea. \n                                  Icebergs float by like silent sentinels, their reflective surfaces catching the shimmering colors of the aurora. \n                                  It's a magical and breathtaking sight that leaves you in awe of the wonders of the Northaenvagr sea."", 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 29)","{'super area title': 'Northaenvagr', 'description': 'The northern lights dance across the night sky in a spectacular display of color and light. The frigid air bites at your skin, and the silence is almost overwhelming, \n                                  broken only by the occasional creaking of ice or the distant call of a lone seabird. ', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 30)","{'super area title': 'Northaenvagr', 'description': ""As you continue your journey, a vast expanse of icy water stretches before you. Their vibrant hues reflect in the icy waters below, casting an otherworldly glow upon the frozen sea. \n                                  Icebergs float by like silent sentinels, their reflective surfaces catching the shimmering colors of the aurora. \n                                  It's a magical and breathtaking sight that leaves you in awe of the wonders of the Northaenvagr sea."", 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 31)","{'super area title': 'Northaenvagr', 'description': 'The northern lights dance across the night sky in a spectacular display of color and light. The frigid air bites at your skin, and the silence is almost overwhelming, \n                                  broken only by the occasional creaking of ice or the distant call of a lone seabird. ', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 32)","{'super area title': 'Northaenvagr', 'description': 'While you sail across the Northaenvagr sea, you see that life flourishes in the icy waters. The frigid air bites at your skin, and the silence is almost overwhelming, \n                                  broken only by the occasional creaking of ice or the distant call of a lone seabird. ', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 33)","{'super area title': 'Northaenvagr', 'description': 'The northern lights dance across the night sky in a spectacular display of color and light. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 34)","{'super area title': 'Northaenvagr', 'description': 'As far as the eye can see, the water is a vast expanse of glacial blue, its surface punctuated by jagged ice floes. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 35)","{'super area title': 'Northaenvagr', 'description': 'As you continue your journey, a vast expanse of icy water stretches before you. Seals lounge on ice floes, their whiskered faces turned towards the sun. \n                                  Curious penguins dive beneath the surface, darting through the water with incredible speed.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 36)","{'super area title': 'Northaenvagr', 'description': 'As far as the eye can see, the water is a vast expanse of glacial blue, its surface punctuated by jagged ice floes. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 37)","{'super area title': 'Northaenvagr', 'description': 'The northern lights dance across the night sky in a spectacular display of color and light. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 38)","{'super area title': 'Northaenvagr', 'description': ""While you sail across the Northaenvagr sea, you see that life flourishes in the icy waters. Their vibrant hues reflect in the icy waters below, casting an otherworldly glow upon the frozen sea. \n                                  Icebergs float by like silent sentinels, their reflective surfaces catching the shimmering colors of the aurora. \n                                  It's a magical and breathtaking sight that leaves you in awe of the wonders of the Northaenvagr sea."", 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 39)","{'super area title': 'Northaenvagr', 'description': 'The northern lights dance across the night sky in a spectacular display of color and light. Seals lounge on ice floes, their whiskered faces turned towards the sun. \n                                  Curious penguins dive beneath the surface, darting through the water with incredible speed.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 40)","{'super area title': 'Northaenvagr', 'description': 'While you sail across the Northaenvagr sea, you see that life flourishes in the icy waters. Seals lounge on ice floes, their whiskered faces turned towards the sun. \n                                  Curious penguins dive beneath the surface, darting through the water with incredible speed.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 41)","{'super area title': 'Northaenvagr', 'description': 'As you continue your journey, a vast expanse of icy water stretches before you. Seals lounge on ice floes, their whiskered faces turned towards the sun. \n                                  Curious penguins dive beneath the surface, darting through the water with incredible speed.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 42)","{'super area title': 'Northaenvagr', 'description': 'As far as the eye can see, the water is a vast expanse of glacial blue, its surface punctuated by jagged ice floes. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 43)","{'super area title': 'Northaenvagr', 'description': ""The northern lights dance across the night sky in a spectacular display of color and light. Their vibrant hues reflect in the icy waters below, casting an otherworldly glow upon the frozen sea. \n                                  Icebergs float by like silent sentinels, their reflective surfaces catching the shimmering colors of the aurora. \n                                  It's a magical and breathtaking sight that leaves you in awe of the wonders of the Northaenvagr sea."", 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 44)","{'super area title': 'Northaenvagr', 'description': 'As you continue your journey, a vast expanse of icy water stretches before you. The frigid air bites at your skin, and the silence is almost overwhelming, \n                                  broken only by the occasional creaking of ice or the distant call of a lone seabird. ', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 45)","{'super area title': 'Northaenvagr', 'description': 'The northern lights dance across the night sky in a spectacular display of color and light. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 46)","{'super area title': 'Northaenvagr', 'description': 'The northern lights dance across the night sky in a spectacular display of color and light. The frigid air bites at your skin, and the silence is almost overwhelming, \n                                  broken only by the occasional creaking of ice or the distant call of a lone seabird. ', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 47)","{'super area title': 'Northaenvagr', 'description': ""As you continue your journey, a vast expanse of icy water stretches before you. Their vibrant hues reflect in the icy waters below, casting an otherworldly glow upon the frozen sea. \n                                  Icebergs float by like silent sentinels, their reflective surfaces catching the shimmering colors of the aurora. \n                                  It's a magical and breathtaking sight that leaves you in awe of the wonders of the Northaenvagr sea."", 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 48)","{'super area title': 'Northaenvagr', 'description': 'The northern lights dance across the night sky in a spectacular display of color and light. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 49)","{'super area title': 'Northaenvagr', 'description': 'The northern lights dance across the night sky in a spectacular display of color and light. Seals lounge on ice floes, their whiskered faces turned towards the sun. \n                                  Curious penguins dive beneath the surface, darting through the water with incredible speed.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(1, 0)","{'super area title': 'Northaenvagr', 'description': 'The northern lights dance across the night sky in a spectacular display of color and light. The frigid air bites at your skin, and the silence is almost overwhelming, \n                                  broken only by the occasional creaking of ice or the distant call of a lone seabird. ', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(1, 1)","{'super area title': 'Northaenvagr', 'description': ""As far as the eye can see, the water is a vast expanse of glacial blue, its surface punctuated by jagged ice floes. Their vibrant hues reflect in the icy waters below, casting an otherworldly glow upon the frozen sea. \n                                  Icebergs float by like silent sentinels, their reflective surfaces catching the shimmering colors of the aurora. \n                                  It's a magical and breathtaking sight that leaves you in awe of the wonders of the Northaenvagr sea."", 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(1, 2)","{'super area title': 'Northaenvagr', 'description': 'As far as the eye can see, the water is a vast expanse of glacial blue, its surface punctuated by jagged ice floes. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(1, 3)","{'super area title': 'Northaenvagr', 'description': 'As you continue your journey, a vast expanse of icy water stretches before you. Seals lounge on ice floes, their whiskered faces turned towards the sun. \n                                  Curious penguins dive beneath the surface, darting through the water with incredible speed.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(1, 4)","{'super area title': 'Northaenvagr', 'description': 'While you sail across the Northaenvagr sea, you see that life flourishes in the icy waters. The frigid air bites at your skin, and the silence is almost overwhelming, \n                                  broken only by the occasional creaking of ice or the distant call of a lone seabird. ', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(1, 5)","{'super area title': 'Northaenvagr', 'description': 'The northern lights dance across the night sky in a spectacular display of color and light. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(1, 6)","{'super area title': 'Northaenvagr', 'description': 'As far as the eye can see, the water is a vast expanse of glacial blue, its surface punctuated by jagged ice floes. Seals lounge on ice floes, their whiskered faces turned towards the sun. \n                                  Curious penguins dive beneath the surface, darting through the water with incredible speed.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(1, 7)","{'super area title': 'Northaenvagr', 'description': 'The northern lights dance across the night sky in a spectacular display of color and light. The frigid air bites at your skin, and the silence is almost overwhelming, \n                                  broken only by the occasional creaking of ice or the distant call of a lone seabird. ', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(1, 8)","{'super area title': 'West Nordreyjar', 'description': 'The barren landscape is dominated by arid earth and rocky outcroppings.  Golden wheat sways like a rippling sea, ready for harvest.\n                             Scarecrows stand guard amidst the fields, their outstretched arms warding off unwelcome visitors. The sky overhead is an expanse of azure blue, interrupted only by the occasional fluffy cloud.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
"(1, 9)","{'super area title': 'West Nordreyjar', 'description': 'The plains of West Nordreyjar seem to stretch on forever, a vast expanse of open land broken only by occasional clusters of trees.  Short grasses carpet the land, bending and swaying as the gusts sweep across the plain. \n                              Herds of animals graze in the distance, their movements harmonizing with the rhythm of the land. The sun bathes the landscape in a warm glow, and the air is filled with the earthy scent of soil and vegetation.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
"(1, 10)","{'super area title': 'West Nordreyjar', 'description': 'The steppe is a realm of open skies and endless winds. The grasslands in West Nordreyjar sway in harmony with the breeze, creating a mesmerizing wave-like motion that seems to breathe with the land. \n                              Here and there, wildflowers add vibrant bursts of color, their petals nodding gently in the wind. The air is cool and invigorating, carrying with it the promise of change and adventure.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
"(1, 11)","{'super area title': 'West Nordreyjar', 'description': 'The plains of West Nordreyjar seem to stretch on forever, a vast expanse of open land broken only by occasional clusters of trees. The ground is cracked and dry, and the few tufts of hardy grass that dot the landscape seem like precious oases of life. \n                              The sun beats down relentlessly, casting harsh shadows that stretch across the desolate expanse. The sun bathes the landscape in a warm glow, and the air is filled with the earthy scent of soil and vegetation.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
"(1, 12)","{'super area title': 'West Nordreyjar', 'description': 'The plains of West Nordreyjar seem to stretch on forever, a vast expanse of open land broken only by occasional clusters of trees. The ground is cracked and dry, and the few tufts of hardy grass that dot the landscape seem like precious oases of life. \n                              The sun beats down relentlessly, casting harsh shadows that stretch across the desolate expanse. The sky overhead is an expanse of azure blue, interrupted only by the occasional fluffy cloud.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
"(1, 13)","{'super area title': 'Northaenvagr', 'description': 'As far as the eye can see, the water is a vast expanse of glacial blue, its surface punctuated by jagged ice floes. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(1, 14)","{'super area title': 'Northaenvagr', 'description': 'While you sail across the Northaenvagr sea, you see that life flourishes in the icy waters. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(1, 15)","{'super area title': 'West Nordreyjar', 'description': 'The landscape is dominated by rugged, weathered rock formations that jut out of the earth like ancient sculptures. Rolling hills and valleys stretch as far as the eye can see, their contours softened by a veil of mist. \n                              Rocky outcroppings and boulders dot the landscape, standing like silent sentinels amidst the green expanse. The wind whispers secrets as it rustles the grass, and the sky seems infinite overhead.', 'title': 'West Nordreyjar-hill', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '5'}"
"(1, 16)","{'super area title': 'West Nordreyjar', 'description': 'The landscape unfolds in a sea of undulating grasses that stretch to the horizon. Tall grasses wave lazily in the wind, their golden heads creating a sea of movement that whispers secrets to anyone who listens. The sun bathes the landscape in a warm glow, and the air is filled with the earthy scent of soil and vegetation.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
"(1, 17)","{'super area title': 'West Nordreyjar', 'description': 'The barren landscape is dominated by arid earth and rocky outcroppings.  Golden wheat sways like a rippling sea, ready for harvest.\n                             Scarecrows stand guard amidst the fields, their outstretched arms warding off unwelcome visitors. The sky overhead is an expanse of azure blue, interrupted only by the occasional fluffy cloud.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
"(1, 18)","{'super area title': 'West Nordreyjar', 'description': 'The landscape unfolds in a sea of undulating grasses that stretch to the horizon. Tall grasses wave lazily in the wind, their golden heads creating a sea of movement that whispers secrets to anyone who listens. Despite the starkness, there is a certain beauty in the rugged simplicity of the desert plains.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
"(1, 19)","{'super area title': 'West Nordreyjar', 'description': 'The plains of West Nordreyjar seem to stretch on forever, a vast expanse of open land broken only by occasional clusters of trees. The grasslands in West Nordreyjar sway in harmony with the breeze, creating a mesmerizing wave-like motion that seems to breathe with the land. \n                              Here and there, wildflowers add vibrant bursts of color, their petals nodding gently in the wind. The sky overhead is an expanse of azure blue, interrupted only by the occasional fluffy cloud.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
"(1, 20)","{'super area title': 'Northaenvagr', 'description': 'While you sail across the Northaenvagr sea, you see that life flourishes in the icy waters. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(1, 21)","{'super area title': 'Northaenvagr', 'description': ""The northern lights dance across the night sky in a spectacular display of color and light. Their vibrant hues reflect in the icy waters below, casting an otherworldly glow upon the frozen sea. \n                                  Icebergs float by like silent sentinels, their reflective surfaces catching the shimmering colors of the aurora. \n                                  It's a magical and breathtaking sight that leaves you in awe of the wonders of the Northaenvagr sea."", 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(1, 22)","{'super area title': 'Northaenvagr', 'description': 'As you continue your journey, a vast expanse of icy water stretches before you. The frigid air bites at your skin, and the silence is almost overwhelming, \n                                  broken only by the occasional creaking of ice or the distant call of a lone seabird. ', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(1, 23)","{'super area title': 'Northaenvagr', 'description': ""While you sail across the Northaenvagr sea, you see that life flourishes in the icy waters. Their vibrant hues reflect in the icy waters below, casting an otherworldly glow upon the frozen sea. \n                                  Icebergs float by like silent sentinels, their reflective surfaces catching the shimmering colors of the aurora. \n                                  It's a magical and breathtaking sight that leaves you in awe of the wonders of the Northaenvagr sea."", 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(1, 24)","{'super area title': 'Northaenvagr', 'description': 'While you sail across the Northaenvagr sea, you see that life flourishes in the icy waters. The frigid air bites at your skin, and the silence is almost overwhelming, \n                                  broken only by the occasional creaking of ice or the distant call of a lone seabird. ', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
